species,networks,Taxonomy,Notes
Psylocarpus sp1 M_PL_074_09,M_PL_074_09,Genus,Best I can determine
Renealmia sp1 M_PL_071,M_PL_071,Genus,
Renealmia sp1 M_PL_074_04,M_PL_074_04,Genus,
Rubiaceae sp3 M_PL_074_01,M_PL_074_01,Family,
Rubus sp1 M_PL_074_12,M_PL_074_12,Genus,
Rutaceae sp1 M_PL_074_01,M_PL_074_01,Family,
Salix sp1 M_PL_045,M_PL_045,Genus,
Salvia sp1 M_PL_074_01,M_PL_074_01,Genus,
Sambucus sp1 M_PL_074_01,M_PL_074_01,Genus,
Sarcopera sp1 M_PL_074_01,M_PL_074_01,Genus,
Sinningia sp1 M_PL_074_10,M_PL_074_10,Genus,
Siphocampylus sp2 M_PL_074_03,M_PL_074_03,Genus,
Solidago sp1 M_PL_073,M_PL_073,Genus,
Stachytarpheta sp1 M_PL_074_08,M_PL_074_08,Genus,
Stachytarpheta sp2 M_PL_074_09,M_PL_074_09,Genus,
Taraxacum sp1 M_PL_024,M_PL_024,Genus,
Tillandsia sp1 M_PL_063,M_PL_063,Genus,
Tillandsia sp1 M_PL_069_01,M_PL_069_01,Genus,
Unidentified sp1 M_PL_067,M_PL_067,None,
Unidentified sp1 M_PL_074_02,M_PL_074_02,None,
Unidentified sp2 M_PL_074_14,M_PL_074_14,None,
Unidentified sp3 M_PL_074_14,M_PL_074_14,None,
Unidentified sp4 M_PL_074_14,M_PL_074_14,None,
Vochysia sp1 M_PL_074_17,M_PL_074_17,Genus,
Vriesea sp1 M_PL_063,M_PL_063,Genus,
Waltheria sp1 M_PL_074_09,M_PL_074_09,Genus,
Xyris sp1 M_PL_071,M_PL_060_12,Genus,
Zingiberaceae sp1 M_PL_074_02,M_PL_074_02,Family,
