"species","networks"
"Barbacenia gentianoides","M_PL_074_17"
"Barbacenia longiflora","M_PL_074_09"
"Barbacenia luzulifolia","M_PL_074_17"
"Barnadesia spinosa","M_PL_068"
"Barringtonia racemosa","M_PL_044"
"Bauhinia brevipes","M_PL_074_11"
"Bauhinia cheilantha","M_PL_067"
"Bauhinia japonica","M_PL_044"
"Bauhinia rufa","M_PL_074_11"
"Bejaria aestuans","M_PL_068; M_PL_074_14"
"Belamcanda chinensis","M_PL_044"
"Berberis buxifolia","M_PL_051"
"Berberis darwinii","M_PL_051"
"Berberis lutea","M_PL_074_12"
"Berberis thunbergii","M_PL_054"
"Bertiera zaluzania","M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_06; M_PL_060_15; M_PL_060_16; M_PL_060_17"
"Besella rubra","M_PL_054"
"Besleria longimucronata","M_PL_063; M_PL_074_18"
"Besleria riparia","M_PL_074_03"
"Besleria solanoides","M_PL_074_01; M_PL_074_02; M_PL_074_03; M_PL_074_16"
"Bidens frondosa","M_PL_055"
"Bidens pilosa","M_PL_044"
"Billbergia amoena","M_PL_063; M_PL_069_01; M_PL_074_17"
"Billbergia decora","M_PL_071"
"Billbergia porteana","M_PL_074_11"
"Billbergia pyramidalis","M_PL_074_04; M_PL_074_07; M_PL_074_08; M_PL_074_13"
"Billbergia vittata","M_PL_074_17"
"Bistorta tenuicaulis","M_PL_057"
"Blastus cochinchinensis","M_PL_044"
"Bomarea brevis","M_PL_074_12"
"Bomarea carderi","M_PL_074_03; M_PL_074_16"
"Bomarea edulis","M_PL_074_13; M_PL_074_18"
"Bomarea linifolia","M_PL_068"
"Bomarea multiflora","M_PL_074_02; M_PL_074_03"
"Bomarea pardina","M_PL_074_01; M_PL_074_02; M_PL_074_05"
"Bomarea patinii","M_PL_074_03"
"Bomarea setacea","M_PL_074_12"
"Bouvardia ternifolia","M_PL_070"
"Brachycome scapiformis","M_PL_019"
"Brachycome scapigera","M_PL_019"
"Brachycome stolonifera","M_PL_019"
"Brachyotum ledifolium","M_PL_068"
"Brachyotum lindenii","M_PL_068"
"Brachyotum lutescens","M_PL_074_12"
"Brachyotum naudinii","M_PL_074_12"
"Brassica campestris","M_PL_044"
"Brassica fruticulosa","M_PL_058"
"Bredia hirsuta","M_PL_044"
"Bromelia antiacantha","M_PL_074_13"
"Bromelia balansae","M_PL_074_11"
"Brownea coccinea capitella","M_PL_074_04"
"Brugmansia arborea","M_PL_074_01"
"Buddleia davidii","M_PL_054"
"Buddleja brasiliensis","M_PL_074_07"
"Burmeistera cyclostigmata","M_PL_074_01"
"Burmeistera multiflora","M_PL_074_02; M_PL_074_05"
"Byrsonima gardnerana","M_PL_059"
"Caamembeca oleifolia","M_PL_074_09"
"Cacalia adenostyloides","M_PL_056"
"Cacalia hastata farfaraefolia","M_PL_056"
"Caesalpinia pulcherrima","M_PL_065"
"Caesalpinia pyramidalis","M_PL_067"
"Calamagrostis arundinacea","M_PL_057"
"Calathea capitata","M_PL_074_06"
"Calathea communis","M_PL_074_10"
"Calathea ischnosiphonoides","M_PL_074_02"
"Calathea zingiberea","M_PL_071"
"Calceolaria crenatiflora","M_PL_051"
"Calliandra guildingii","M_PL_074_04"
"Calliandra magdalenae","M_PL_074_14"
"Callianthe rufinerva","M_PL_063"
"Callicarpa japonica","M_PL_044; M_PL_054; M_PL_057"
"Calolisianthus pendulus","M_PL_074_17"
"Calolisianthus pulcherrimus","M_PL_074_09"
"Calophyllum eputamen","M_PL_060_09; M_PL_060_11; M_PL_060_12; M_PL_060_24"
"Calopogon pulchellus","M_PL_033"
"Caltha palustris","M_PL_024"
"Calystegia japonica","M_PL_054"
"Calystegia sepium","M_PL_073"
"Camellia japonica","M_PL_054"
"Camellia sasanqua","M_PL_054"
"Campanula gieseckiana","M_PL_045"
"Campanula punctata","M_PL_056"
"Campnosperma seychellarum","M_PL_061_19; M_PL_061_23; M_PL_061_38"
"Campsis grandiflora","M_PL_054"
"Campsis radicans","M_PL_073"
"Canavalia lineata","M_PL_044"
"Canistrum cyathiforme","M_PL_074_10"
"Canistrum fragrans","M_PL_074_10"
"Canistrum perplexum","M_PL_063"
"Canistrum terminalis","M_PL_074_07"
"Canna paniculata","M_PL_063; M_PL_074_18"
"Canthium bibracteatum","M_PL_061_03; M_PL_061_04; M_PL_061_05; M_PL_061_06; M_PL_061_07; M_PL_061_08; M_PL_061_11; M_PL_061_12; M_PL_061_14; M_PL_061_15; M_PL_061_25; M_PL_061_26; M_PL_061_28; M_PL_061_30; M_PL_061_31; M_PL_061_32; M_PL_061_43; M_PL_061_44; M_PL_061_46; M_PL_061_48"
"Cardamine angustata angustata","M_PL_025"
"Cardamine regeliana","M_PL_054; M_PL_057"
"Cardamine tanakae","M_PL_057"
"Cardamine tyrata","M_PL_055"
"Cardiandra alternifolia","M_PL_057"
"Carex curvicollis","M_PL_057"
"Carolus chasei","M_PL_059"
"Caryocar brasiliense","M_PL_074_11"
"Casearia coriacea","M_PL_060_09; M_PL_060_11; M_PL_060_23"
"Casearia sylvestris","M_PL_074_11"
"Castanopsis sieboldii","M_PL_044"
"Castilleja scorzonerifolia","M_PL_070"
"Castilleja tenuiflora","M_PL_070"
"Cavendishia bracteata","M_PL_074_03; M_PL_074_15; M_PL_074_16"
"Cavendishia grandifolia","M_PL_074_01"
"Cavendishia nitida","M_PL_074_03"
"Cavendishia tarapotana","M_PL_074_01; M_PL_074_05"
"Cayratia japonica","M_PL_054"
"Ceiba aesculifolia","M_PL_065"
"Ceiba glaziovii","M_PL_067"
"Celmisia longifolia","M_PL_019"
"Centaurea nigra","M_PL_006; M_PL_007; M_PL_017"
"Centropogon cornutus","M_PL_063; M_PL_074_04; M_PL_074_07; M_PL_074_08; M_PL_074_13; M_PL_074_16; M_PL_074_18"
"Centropogon curvatus","M_PL_074_03"
"Centropogon ferrugineus","M_PL_074_03"
"Centropogon grandidentatus","M_PL_074_15"
"Centropogon isahellinus","M_PL_074_12"
"Centropogon latisepalus","M_PL_074_16"
"Centropogon preslii","M_PL_074_02"
"Centropogon solanifolius","M_PL_074_02; M_PL_074_05"
"Cephalanthus occidentalis","M_PL_073"
"Cerastium alpinum","M_PL_024; M_PL_045"
"Cerbera manghas","M_PL_044"
"Cercis siliquastrum","M_PL_054"
"Cestrum aurantiacum","M_PL_074_15"
"Chamaedaphne calyculata","M_PL_033"
"Chamaenerion angustifolium","M_PL_056"
"Chamerion angustifolium","M_PL_017"
"Chassalia coriacea","M_PL_060_03; M_PL_060_04; M_PL_060_05; M_PL_060_15; M_PL_060_16; M_PL_060_17"
"Chassalia petrinensis","M_PL_060_05"
"Chelidonium majus","M_PL_055; M_PL_057"
"Chelonanthus alatus","M_PL_074_04"
"Chimaphila umbellata","M_PL_004"
"Chronopappus bifrons","M_PL_074_17"
