"species","networks"
"Berberis vulgaris","M_SD_020"
"Berchemia racemosa","Koike_2008"
"Bersama abyssinica","Engel_2000"
"Bertiera guianensis","Blake_1992"
"Besleria columneoides","Blake_1992"
"Bhesa robusta","Suzuki_2007"
"Bischofia javanica","Pratt_1985"
"Blepharocalyx salicifolius","Malacco_da_Silva_2014"
"Blighia unijugata","Engel_2000; M_SD_034"
"Bocconia frutescens","Chimera_2010"
"Boerhavia coccinea","Nogales_2017"
"Bothriospora corymbosa","Correa_2016_Apaporis"
"Brachiaria multiculma","Nogales_2017"
"Bridelia cathartica","Engel_2000"
"Bridelia ferruginea","Hovestadt_1997"
"Bridelia hispida","Kamruzzaman_2008"
"Bridelia micrantha","Engel_2000; M_SD_008; M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Brosimum glaucum","Machado_de_Souza_2019"
"Brunellia stenoptera","Dehling_2017_San_Pedro_1"
"Bryonia cretica subsp  dioica","Costa_2013_endozoochory; Snow_1988_DJF; Snow_1988_JJA; Snow_1988_SON; Sorensen_1981"
"Buchenavia capitata","M_SD_004"
"Bullockia mombazensis","Engel_2000"
"Bursera fagaroides","Ramos_Robles_2016_net2"
"Bursera graveolens","Nogales_2017"
"Bursera simaruba","M_SD_005; Ramos_Robles_2016_net10; Ramos_Robles_2016_net2; Ramos_Robles_2016_net3; Ramos_Robles_2016_net4; Ramos_Robles_2016_net7"
"Byrsonima coriacea","M_SD_003"
"Byrsonima intermedia","Malacco_da_Silva_2014; Marcos_da_Silva_2013"
"Byrsonima japurensis","Correa_2016_Apaporis"
"Byrsonima ligustrifolia","Machado_de_Souza_2019"
"Byrsonima sericea","Andrade_2011"
"Byrsonima spicata","M_SD_010_single_partners_added"
"Byrsonima stipulacea","Lima_2016"
"Cabralea canjerana","Castro_2015; M_SD_009; M_SD_012; Machado_de_Souza_2019; Malacco_da_Silva_2014"
"Caesalpinia volkensii","Engel_2000"
"Calamagrostis arundinacea","Jaroszewicz_2013"
"Calamagrostis canescens","Jaroszewicz_2013"
"Callicarpa formosana","Chen_1999"
"Callicarpa kochiana","Chen_1999"
"Calluna vulgaris","Jaroszewicz_2013; M_SD_031"
"Calophyllum brasiliense","Garcia_Estrada_2012"
"Calycolpus goetheanus","M_SD_010_single_partners_added"
"Calyptranthes concinna","Castro_2015"
"Campanula trachelium","Jaroszewicz_2013"
"Campomanesia adamantium","Genrich_2017"
"Campomanesia guaviroba","Castro_2015"
"Cananga odorata","Engel_2000"
"Canarium euphyllum","Suzuki_2007"
"Canthium coffeoides","Suzuki_2007"
"Capparis erythrocarpos","Engel_2000"
"Capsella bursa-pastoris","Jaroszewicz_2013"
"Carex canescens","Jaroszewicz_2013"
"Carex echinata","Jaroszewicz_2013"
"Carex elongata","Jaroszewicz_2013"
"Carex flava","Jaroszewicz_2013"
"Carex hirta","Jaroszewicz_2013"
"Carex leporina","Jaroszewicz_2013"
"Carex nigra","Jaroszewicz_2013"
"Carex pairae","Jaroszewicz_2013"
"Carex panicea","Jaroszewicz_2013"
"Carex pilosa","Jaroszewicz_2013"
"Carex pseudocyperus","Jaroszewicz_2013"
"Carex remota","Jaroszewicz_2013"
"Carex spicata","Jaroszewicz_2013"
"Carex sylvatica","Jaroszewicz_2013"
"Carex viridula","M_SD_031"
"Carex vulcani","M_SD_031"
"Carex vulpina","Jaroszewicz_2013"
"Carica papaya","Dos_Reis_1983_Cult_et_form_sec; Engel_2000; Fricke_2018_Saipan; Garcia_et_al_2000; Kamruzzaman_2008"
"Carissa edulis","M_SD_034"
"Carpinus betulus","Jaroszewicz_2013"
"Carpobrotus deliciosus","Castley_2001"
"Carpodetus serratus","Garcia_2014_Mount_Fyfee_Reserve; Odonnell_1994; Wyman_2017"
"Carpolobia goetzei","Engel_2000"
"Cascabela thevetia","Engel_2000"
"Casearia arborea","M_SD_003; M_SD_004"
"Casearia battiscombei","M_SD_034"
"Casearia corymbosa","Dehling_2017_San_Pedro_1; Palmeirim_1989; Ramos_Robles_2016_net8"
"Casearia decandra","Machado_de_Souza_2019"
"Casearia grewiifolia","Suzuki_2007"
"Casearia sylvestris","Athie_2009; Castro_2015; Fadini_2004; Machado_de_Souza_2019"
"Casimiroa edulis","Garcia_Estrada_2012"
"Cassia fruticosa","Palmeirim_1989"
"Cassipourea euryoides","Engel_2000"
"Castilla elastica","M_SD_010_single_partners_added"
"Catunaregam nilotica","Engel_2000"
"Cavendishia bracteata","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4"
"Cavendishia nitida","Castano_2018"
"Cavendishia zamorensis","Zamora_Delgado_2008"
"Cayaponia cruegeri","Correa_2016_Caqueta"
"Cayratia japonica","Chen_1999"
"Cecropia angustifolia","Castano_2018; Quitian_2018_2000Fragmented; Quitian_2018_2000Natural; Zamora_Delgado_2008"
"Cecropia concolor","Dos_Reis_1983_Cult_et_form_sec"
"Cecropia distachya","Correa_2016_Apaporis; Gorchov_1995"
"Cecropia ficifolia","Gorchov_1995"
"Cecropia gabrielis","Zamora_Delgado_2008"
"Cecropia glaziovii","Aguiar_2007; Castro_2015; Fadini_2004; Garcia_et_al_2000; Genrich_2017; Gomes_2013; Lima_2016; Mello_2014_Mata_de_Grota; Munster_2008; Passos_2003; Tavares_2007"
"Cecropia hololeuca","Aguiar_2007; Faria_1996; Genrich_2017; Gomes_2013; Lima_2016; Tavares_2007"
"Cecropia insignis","Blake_1992; Lopez_and_Vaughn_2004"
"Cecropia latiloba","Correa_2016_Caqueta"
"Cecropia membranacea","Arias_Arone_2016; Gorchov_1995"
"Cecropia obtusifolia","Blake_1992; Castro_Luna_2012; Garcia_Estrada_2012; Garcia_Morales_2012; Lopez_and_Vaughn_2004; Lou_2005; Lou_2007; Palmeirim_1989; Preciado_Benitez_2015; Santiago_2014_close_to_remnant; Santiago_2014_far_from_remnant"
