species,networks,Taxonomy,Notes
Caenohalictus sp1 M_PL_051,M_PL_051,Genus,
Caenohalictus sp2 M_PL_051,M_PL_051,Genus,
Calcidoidae sp1 M_PL_064,M_PL_060_05,Superfamily,Spelling mistake
Calliphora sp1 M_PL_019,M_PL_019,Genus,
Calliphora sp1 M_PL_056,M_PL_056,Genus,
Calliphora sp2 M_PL_019,M_PL_019,Genus,
Calliphora sp2 M_PL_056,M_PL_056,Genus,
Calliphora sp3 M_PL_019,M_PL_019,Genus,
Calomicrus sp1 M_PL_055,M_PL_055,Genus,
Caloptilia sp1 M_PL_044,M_PL_044,Genus,
Camponotus sp1 M_PL_051,M_PL_051,Genus,
Campopleginae sp1 M_PL_076,M_PL_060_17,Subfamily,
Cantharis sp1 M_PL_004,M_PL_004,Genus,
Centris sp1 M_PL_059,M_PL_059,Genus,
Centris sp2 M_PL_059,M_PL_059,Genus,
Cephalochrysa sp1 M_PL_044,M_PL_044,Genus,
Cerambycidae sp1 M_PL_065,M_PL_060_06,Family,
Cerambycidae sp1 M_PL_066,M_PL_060_07,Family,
Cerambycidae sp1 M_PL_068,M_PL_060_09,Family,
Cerambycidae sp1 M_PL_075,M_PL_060_16,Family,
Cerambycidae sp1 M_PL_077,M_PL_060_18,Family,
Cerambycidae sp1 M_PL_078,M_PL_060_19,Family,
Cerambycidae sp2 M_PL_075,M_PL_060_16,Family,
Ceratina sp1 M_PL_057,M_PL_057,Genus,
Ceratina sp1 M_PL_073,M_PL_073,Genus,
Cerceris sp1 M_PL_058,M_PL_058,Genus,
Chaetocnema sp1 M_PL_060,M_PL_060_01,Genus,
Chaetocnema sp1 M_PL_061,M_PL_060_02,Genus,
Chaetocnema sp1 M_PL_062,M_PL_060_03,Genus,
Chaetocnema sp1 M_PL_063,M_PL_060_04,Genus,
Chaetocnema sp1 M_PL_064,M_PL_060_05,Genus,
Chaetocnema sp1 M_PL_066,M_PL_060_07,Genus,
Chaetocnema sp1 M_PL_068,M_PL_060_09,Genus,
Chaetocnema sp1 M_PL_070,M_PL_060_11,Genus,
Chaetocnema sp1 M_PL_072,M_PL_060_13,Genus,
Chaetocnema sp1 M_PL_073,M_PL_060_14,Genus,
Chaetocnema sp1 M_PL_074,M_PL_060_15,Genus,
Chaetocnema sp1 M_PL_075,M_PL_060_16,Genus,
Chaetocnema sp1 M_PL_076,M_PL_060_17,Genus,
Chaetocnema sp1 M_PL_077,M_PL_060_18,Genus,
Chaetocnema sp1 M_PL_078,M_PL_060_19,Genus,
Chaetocnema sp1 M_PL_079,M_PL_060_20,Genus,
Chaetocnema sp1 M_PL_080,M_PL_060_21,Genus,
Chaetocnema sp1 M_PL_081,M_PL_060_22,Genus,
Chaetocnema sp1 M_PL_082,M_PL_060_23,Genus,
Chaetocnema sp1 M_PL_083,M_PL_060_24,Genus,
Chaetocnema sp2 M_PL_065,M_PL_060_06,Genus,
Chalicodoma sp1 M_PL_054,M_PL_054,Subgenus,
Cheilosia sp1 M_PL_044,M_PL_044,Genus,
Cheilosia sp1 M_PL_054,M_PL_054,Genus,
Cheilosia sp1 M_PL_055,M_PL_055,Genus,
Cheilosia sp1 M_PL_056,M_PL_056,Genus,
Cheilosia sp1 M_PL_057,M_PL_057,Genus,
