"species","networks"
"Baeopogon indicator","Hovestadt_1997; M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist"
"Baillonius bailloni","Fadini_2004"
"Bandicota indica","Jayasekara_2007"
"Basileuterus culicivorus","Fadini_2004"
"Bathmocercus rufus","M_SD_034"
"Batis senegalensis","Daru_2015"
"Bison bonasus","Jaroszewicz_2013"
"Bleda syndactylus","M_SD_034"
"Bombycilla cedrorum","Labbe_2011; M_SD_001"
"Bostrychia hagedash","Hovestadt_1997"
"Brachyphylla nana","Mancina_2007_dry"
"Brotogeris chiriri","Marcos_da_Silva_2013"
"Brycon amazonicus","Correa_2016_Apaporis; Correa_2016_Caqueta"
"Brycon falcatus","Correa_2016_Apaporis; Correa_2016_Caqueta"
"Brycon melanopterus","Correa_2016_Apaporis; Correa_2016_Caqueta"
"Buccanodon duchaillui","M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Buccanodon leucotis","M_SD_008"
"Buceros bicornis","Sethi_2012; VELHO"
"Buthraupis montana","Dehling_2017_Wayqecha_1; Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4"
"Bycanistes brevis","Engel_2000"
"Bycanistes buccinator","M_SD_008"
"Bycanistes cylindricus","Hovestadt_1997"
"Bycanistes fistulator","Hovestadt_1997"
"Bycanistes subcylindricus","Hovestadt_1997; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Cacicus chrysonotus","Dehling_2017_Wayqecha_2; Dehling_2017_Wayqecha_3; Dehling_2017_Wayqecha_4"
"Cacicus haemorrhous","de_Oliveira_1999; Machado_de_Souza_2019"
"Cacicus uropygialis","Quitian_2018_1000Fragmented; Quitian_2018_1000Natural"
"Callosciurus erythraeus","Sethi_2012"
"Callosciurus finlaysonii","Suzuki_2007"
"Callosciurus pygerythrus","Sethi_2012"
"Caluromys philander","Lessa_2010; Lessa_2013"
"Camarhynchus pallidus","Nogales_2017"
"Camarhynchus parvulus","Nogales_2017"
"Camaroptera brachyura","Daru_2015"
"Campephaga flava","M_SD_034"
"Campephaga phoenicea","Menke_2012_edge_highly_dist"
"Camptostoma obsoletum","Athie_2009; de_Oliveira_1999; Robinson_2015"
"Canis mesomelas","Castley_2001"
"Capreolus capreolus","Jaroszewicz_2013; Peredo_2013_Pto_de_San_Lorenzo; Peredo_2013_Puertos_de_Marabio"
"Cardellina canadensis","Kessler_Rios_2012; Wolfe_2014"
"Cardinalis cardinalis","Chimera_2010; Labbe_2011; M_SD_001"
"Carduelis carduelis","M_SD_031"
"Carollia brevicauda","Aguilar_Garavito_2014_mature; Arias_Arone_2016; Castano_2018; Gorchov_1995; Novoa_2011; Zamora_Delgado_2008; Zapata_Mesa_2017_MR_September"
"Carollia castanea","Gorchov_1995; Lopez_and_Vaughn_2004; Palmeirim_1989"
"Carollia perspicillata","Aguiar_2007; Arias_Arone_2016; Brito_2010; Carvalho_2008; Castano_2018; Castro_Luna_2012; Dos_Reis_1983_Cult_et_form_sec; Faria_1996; Fleming_1977; Garcia_et_al_2000; Gomes_2013; Gorchov_1995; Hayashi_1996; Lima_2016; Lopez_and_Vaughn_2004; Lou_2005; Lou_2007; Mello_2014_Mata_de_Grota; Munin_2012; Munster_2008; Novoa_2011; Palmeirim_1989; Passos_2003; Pedro_1992; Sanchez_2012_Iguazu; Santiago_2014_close_to_remnant; Santiago_2014_far_from_remnant; SARM_whole_network_from_paper; Silva_Oliveira_2018; Silveira_2006; Souza_Laurindo_2017; Tavares_2007; Zapata_Mesa_2017_MR_September"
"Carollia sowelli","Castro_Luna_2012; Garcia_Morales_2012; Hernandez_Montero_2015_B4_Dry; Hernandez_Montero_2015_B4_Norte; Lopez_and_Vaughn_2004; Lou_2005; Lou_2007; Palmeirim_1989; Preciado_Benitez_2015; Santiago_2014_close_to_remnant; Santiago_2014_far_from_remnant"
"Carollia subrufa","Preciado_Benitez_2015"
"Carpodacus purpureus","M_SD_001"
"Carpornis cucullata","Machado_de_Souza_2019"
"Carpornis melanocephala","Castro_2015; Machado_de_Souza_2019"
"Catharus fuscescens","Blake_1992; M_SD_033; Malmborg_1988_1981; Wolfe_2014"
"Catharus guttatus","M_SD_001; Malmborg_1988_1980; Malmborg_1988_1981; Malmborg_1988_1982"
"Catharus minimus","Blake_1992; M_SD_033; Malmborg_1988_1980; Malmborg_1988_1981; Malmborg_1988_1982; Wolfe_2014"
"Catharus ustulatus","Blake_1992; Blendinger_2015; Dehling_2017_San_Pedro_1; Gorchov_1995; Kessler_Rios_2012; M_SD_033; Malmborg_1988_1980; Malmborg_1988_1981; Malmborg_1988_1982; Quitian_2018_1000Fragmented; Quitian_2018_1000Natural; Quitian_2018_2000Fragmented; Quitian_2018_2000Natural; SAAV1; Zamora_Delgado_2008"
"Celeus flavescens","de_Oliveira_1999; Fadini_2004; Machado_de_Souza_2019"
"Centropus monachus","M_SD_034"
"Centropus senegalensis","Daru_2015"
"Cephalophus niger","Hovestadt_1997"
"Cephalophus rufilatus","Hovestadt_1997"
"Cephalopterus ornatus","Dehling_2017_San_Pedro_1"
"Ceratogymna subcylindrica","M_SD_034"
"Cercocebus atys","Hovestadt_1997"
"Cercopithecus ascanius","M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Cercopithecus lowei","Hovestadt_1997"
"Cercopithecus mitis","Engel_2000; M_SD_034; Menke_2012_edge_highly_dist; Menke_2012_edge_little_dist; Menke_2012_interior_highly_dist; Menke_2012_interior_little_dist"
"Cercopithecus petaurista","Hovestadt_1997"
"Cerradomys scotti","Genrich_2017"
"Cerradomys subflavus","Genrich_2017"
