Species,Networks
artibeus lituratus,Aguiar_2007_column_names.csv; Aguilar_Garavito_2014_mature_column_names.csv; Brito_2010_column_names.csv; Carvalho_2008_column_names.csv; Castano_2018_column_names.csv; Castro_Luna_2012_column_names.csv; Dos_Reis_1983_Cult_et_form_sec_column_names.csv; Faria_1996_column_names.csv; Fleming_1977_column_names.csv; Garcia_Estrada_2012_column_names.csv; Garcia_et_al_2000_column_names.csv; Garcia_Morales_2012_column_names.csv; Gomes_2013_column_names.csv; Gorchov_1995_column_names.csv; Hayashi_1996_column_names.csv; Lima_2016_column_names.csv; Lopez_and_Vaughn_2004_column_names.csv; Lou_2005_column_names.csv; Lou_2007_column_names.csv; Mello_2014_Mata_de_Grota_column_names.csv; Munin_2012_column_names.csv; Munster_2008_column_names.csv; Palmeirim_1989_column_names.csv; Passos_2003_column_names.csv; Preciado_Benitez_2015_column_names.csv; Sanchez_2012_Iguazu_column_names.csv; Santiago_2014_close_to_remnant_column_names.csv; Santiago_2014_far_from_remnant_column_names.csv; SARM_whole_network_from_paper_column_names.csv; Silva_Oliveira_2018_column_names.csv; Silveira_2006_column_names.csv; Souza_Laurindo_2017_column_names.csv; Tavares_2007_column_names.csv; Zapata_Mesa_2017_MR_September_column_names.csv
artibeus lopez unidsp 778,Lopez_and_Vaughn_2004_column_names.csv
artibeus lou2005 unidsp mult,Lou_2005_column_names.csv
artibeus lou2007 unidsp mult,Lou_2007_column_names.csv
artibeus obscurus,Aguiar_2007_column_names.csv; Gorchov_1995_column_names.csv; Lima_2016_column_names.csv; Munster_2008_column_names.csv; SARM_whole_network_from_paper_column_names.csv; Silva_Oliveira_2018_column_names.csv
artibeus phaeotis,Castano_2018_column_names.csv; Castro_Luna_2012_column_names.csv; Fleming_1977_column_names.csv; Garcia_Estrada_2012_column_names.csv; Palmeirim_1989_column_names.csv; Preciado_Benitez_2015_column_names.csv
artibeus planirostris,Arias_Arone_2016_column_names.csv; Brito_2010_column_names.csv; Carvalho_2008_column_names.csv; Dos_Reis_1983_Cult_et_form_sec_column_names.csv; Gorchov_1995_column_names.csv; Munin_2012_column_names.csv; Passos_2003_column_names.csv; Pedro_1992_column_names.csv; SARM_whole_network_from_paper_column_names.csv; Silva_Oliveira_2018_column_names.csv
artibeus toltecus,Garcia_Estrada_2012_column_names.csv; Garcia_Morales_2012_column_names.csv; Hernandez_Montero_2015_B4_Dry_column_names.csv; Hernandez_Montero_2015_B4_Norte_column_names.csv; Preciado_Benitez_2015_column_names.csv
artibeus watsoni,Castro_Luna_2012_column_names.csv
atimastillas flavicollis,Daru_2015_column_names.csv
atlapetes albinucha,Kessler_Rios_2012_column_names.csv
atlapetes latinuchus,Zamora_Delgado_2008_column_names.csv
atlapetes rufinucha,SAAV1_column_names.csv
attila rufus,Machado_de_Souza_2019_column_names.csv
